publication_ID	last_name	first_name	first_name_abbr	extra	position	h_index_real	updated_at
250020	Charles		M. J.			-1	2023-01-06 17:11:05.425728+00:00
250020	Mallik		U.			-1	2023-01-06 17:11:05.425728+00:00
250020	Meyer		N. T.			-1	2023-01-06 17:11:05.425728+00:00
250020	Ziegler		V.			-1	2023-01-06 17:11:05.425728+00:00
250020	Cochran		J.			-1	2023-01-06 17:11:05.425728+00:00
250020	Crawley		H. B.			-1	2023-01-06 17:11:05.425728+00:00
250020	Dong		L.			-1	2023-01-06 17:11:05.425728+00:00
250020	Eyges		V.			-1	2023-01-06 17:11:05.425728+00:00
250020	Meyer		W. T.			-1	2023-01-06 17:11:05.425728+00:00
250020	Prell		S.			-1	2023-01-06 17:11:05.425728+00:00
250020	Rosenberg		E. I.			-1	2023-01-06 17:11:05.425728+00:00
250020	Rubin		A. E.			-1	2023-01-06 17:11:05.425728+00:00
250020	Gritsan		A. V.			-1	2023-01-06 17:11:05.425728+00:00
250020	Guo		Z. J.			-1	2023-01-06 17:11:05.425728+00:00
250020	Lae		C. K.			-1	2023-01-06 17:11:05.425728+00:00
250020	Denig		A. G.			-1	2023-01-06 17:11:05.425728+00:00
250020	Fritsch		M.			-1	2023-01-06 17:11:05.425728+00:00
250020	Schott		G.			-1	2023-01-06 17:11:05.425728+00:00
250020	Arnaud		N.			-1	2023-01-06 17:11:05.425728+00:00
250020	Béquilleux		J.			-1	2023-01-06 17:11:05.425728+00:00
250020	Davier		M.			-1	2023-01-06 17:11:05.425728+00:00
250020	Grosdidier		G.			-1	2023-01-06 17:11:05.425728+00:00
250020	Höcker		A.			-1	2023-01-06 17:11:05.425728+00:00
250020	Lepeltier		V.			-1	2023-01-06 17:11:05.425728+00:00
250020	Le Diberder		F.			-1	2023-01-06 17:11:05.425728+00:00
250020	Lutz		A. M.			-1	2023-01-06 17:11:05.425728+00:00
250020	Pruvot		S.			-1	2023-01-06 17:11:05.425728+00:00
250020	Rodier		S.			-1	2023-01-06 17:11:05.425728+00:00
250020	Roudeau		P.			-1	2023-01-06 17:11:05.425728+00:00
250020	Schune		M. H.			-1	2023-01-06 17:11:05.425728+00:00
250020	Serrano		J.			-1	2023-01-06 17:11:05.425728+00:00
250020	Sordini		V.			-1	2023-01-06 17:11:05.425728+00:00
250020	Stocchi		A.			-1	2023-01-06 17:11:05.425728+00:00
250020	Wang		W. F.			-1	2023-01-06 17:11:05.425728+00:00
250020	Wormser		G.			-1	2023-01-06 17:11:05.425728+00:00
250020	Lange		D. J.			-1	2023-01-06 17:11:05.425728+00:00
250020	Wright		D. M.			-1	2023-01-06 17:11:05.425728+00:00
250020	Chavez		C. A.			-1	2023-01-06 17:11:05.425728+00:00
250020	Forster		I. J.			-1	2023-01-06 17:11:05.425728+00:00
250020	Fry		J. R.			-1	2023-01-06 17:11:05.425728+00:00
250020	Gabathuler		E.			-1	2023-01-06 17:11:05.425728+00:00
250020	Gamet		R.			-1	2023-01-06 17:11:05.425728+00:00
250020	Hutchcroft		D. E.			-1	2023-01-06 17:11:05.425728+00:00
250020	Payne		D. J.			-1	2023-01-06 17:11:05.425728+00:00
250020	Schofield		K. C.			-1	2023-01-06 17:11:05.425728+00:00
250020	Touramanis		C.			-1	2023-01-06 17:11:05.425728+00:00
250020	Bevan		A. J.			-1	2023-01-06 17:11:05.425728+00:00
250020	George		K. A.			-1	2023-01-06 17:11:05.425728+00:00
250020	Di Lodovico		F.			-1	2023-01-06 17:11:05.425728+00:00
250020	Menges		W.			-1	2023-01-06 17:11:05.425728+00:00
250020	Sacco		R.			-1	2023-01-06 17:11:05.425728+00:00
250020	Cowan		G.			-1	2023-01-06 17:11:05.425728+00:00
250020	Flaecher		H. U.			-1	2023-01-06 17:11:05.425728+00:00
250020	Hopkins		D. A.			-1	2023-01-06 17:11:05.425728+00:00
250020	Jackson		P. S.			-1	2023-01-06 17:11:05.425728+00:00
250020	Mcmahon		T. R.			-1	2023-01-06 17:11:05.425728+00:00
250020	Salvatore		F.			-1	2023-01-06 17:11:05.425728+00:00
250020	Wren		A. C.			-1	2023-01-06 17:11:05.425728+00:00
250020	Davis		C. L.			-1	2023-01-06 17:11:05.425728+00:00
250020	Allison		J.			-1	2023-01-06 17:11:05.425728+00:00
250020	Barlow		N. R.			-1	2023-01-06 17:11:05.425728+00:00
250020	Barlow		R. J.			-1	2023-01-06 17:11:05.425728+00:00
250020	Chia		Y. M.			-1	2023-01-06 17:11:05.425728+00:00
250020	Edgar		C. L.			-1	2023-01-06 17:11:05.425728+00:00
250020	Lafferty		G. D.			-1	2023-01-06 17:11:05.425728+00:00
250020	West		T. J.			-1	2023-01-06 17:11:05.425728+00:00
250020	Yi		J. I.			-1	2023-01-06 17:11:05.425728+00:00
250020	Anderson		J.			-1	2023-01-06 17:11:05.425728+00:00
250020	Chen		C.			-1	2023-01-06 17:11:05.425728+00:00
250020	Jawahery		A.			-1	2023-01-06 17:11:05.425728+00:00
250020	Roberts		D. A.			-1	2023-01-06 17:11:05.425728+00:00
250020	Simi		G.			-1	2023-01-06 17:11:05.425728+00:00
250020	Tuggle		J. M.			-1	2023-01-06 17:11:05.425728+00:00
250020	Blaylock		G.			-1	2023-01-06 17:11:05.425728+00:00
250020	Dallapiccola		C.			-1	2023-01-06 17:11:05.425728+00:00
250020	Hertzbach		S. S.			-1	2023-01-06 17:11:05.425728+00:00
250020	Li		X.			-1	2023-01-06 17:11:05.425728+00:00
250020	Moore		T. B.			-1	2023-01-06 17:11:05.425728+00:00
250020	Salvati		E.			-1	2023-01-06 17:11:05.425728+00:00
250020	Saremi		S.			-1	2023-01-06 17:11:05.425728+00:00
250020	Cowan		R.			-1	2023-01-06 17:11:05.425728+00:00
250020	Fisher		P. H.			-1	2023-01-06 17:11:05.425728+00:00
250020	Sciolla		G.			-1	2023-01-06 17:11:05.425728+00:00
250020	Sekula		S. J.			-1	2023-01-06 17:11:05.425728+00:00
250020	Spitznagel		M.			-1	2023-01-06 17:11:05.425728+00:00
250020	Taylor		F.			-1	2023-01-06 17:11:05.425728+00:00
250020	Yamamoto		R. K.			-1	2023-01-06 17:11:05.425728+00:00
250020	Mclachlin		S. E.			-1	2023-01-06 17:11:05.425728+00:00
250020	Patel		P. M.			-1	2023-01-06 17:11:05.425728+00:00
250020	Robertson		S. H.			-1	2023-01-06 17:11:05.425728+00:00
250020	Lazzaro		A.			-1	2023-01-06 17:11:05.425728+00:00
250020	Palombo		F.			-1	2023-01-06 17:11:05.425728+00:00
250020	Bauer		J. M.			-1	2023-01-06 17:11:05.425728+00:00
250020	Cremaldi		L.			-1	2023-01-06 17:11:05.425728+00:00
250020	Eschenburg		V.			-1	2023-01-06 17:11:05.425728+00:00
250020	Godang		R.			-1	2023-01-06 17:11:05.425728+00:00
250020	Kroeger		R.			-1	2023-01-06 17:11:05.425728+00:00
250020	Sanders		D. A.			-1	2023-01-06 17:11:05.425728+00:00
250020	Summers		D. J.			-1	2023-01-06 17:11:05.425728+00:00
250020	Zhao		H. W.			-1	2023-01-06 17:11:05.425728+00:00
250020	Brunet		S.			-1	2023-01-06 17:11:05.425728+00:00
250020	Côté		D.			-1	2023-01-06 17:11:05.425728+00:00
250020	Simard		M.			-1	2023-01-06 17:11:05.425728+00:00
250020	Taras		P.			-1	2023-01-06 17:11:05.425728+00:00
250020	Viaud		F. B.			-1	2023-01-06 17:11:05.425728+00:00
250020	Nicholson		H.			-1	2023-01-06 17:11:05.425728+00:00
250020	De Nardo		G.			-1	2023-01-06 17:11:05.425728+00:00
250020	Fabozzi		F.			-1	2023-01-06 17:11:05.425728+00:00
250020	Lista		L.			-1	2023-01-06 17:11:05.425728+00:00
250020	Monorchio		D.			-1	2023-01-06 17:11:05.425728+00:00
250020	Sciacca		C.			-1	2023-01-06 17:11:05.425728+00:00
250020	Baak		M. A.			-1	2023-01-06 17:11:05.425728+00:00
250020	Raven		G.			-1	2023-01-06 17:11:05.425728+00:00
250020	Snoek		H. L.			-1	2023-01-06 17:11:05.425728+00:00
250020	Jessop		C. P.			-1	2023-01-06 17:11:05.425728+00:00
250020	Losecco		J. M.			-1	2023-01-06 17:11:05.425728+00:00
250020	Benelli		G.			-1	2023-01-06 17:11:05.425728+00:00
250020	Corwin		L. A.			-1	2023-01-06 17:11:05.425728+00:00
250020	Gan		K. K.			-1	2023-01-06 17:11:05.425728+00:00
250020	Honscheid		K.			-1	2023-01-06 17:11:05.425728+00:00
